*******************************************************************************
Ephemeris / WWW_USER Sun Nov 25 13:46:10 2012 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Saturn (699)                    {source: SAT351}
Center body name: Earth (399)                     {source: DE405}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2012-Nov-25 00:00:00.0000 UT      
Stop  time      : A.D. 2013-Jan-24 00:00:00.0000 UT      
Step-size       : 420 minutes
*******************************************************************************
Target pole/equ : IAU_SATURN                      {East-longitude -}
Target radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Center geodetic : 280.630000,43.6700478,-0.000471 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.630000,4620.87059,4381.6431 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun                             {source: DE405+DE406}
Interfering body: MOON (Req= 1737.400) km         {source: DE405}
Deflecting body : Sun, EARTH                      {source: DE405}
Deflecting GMs  : 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : JD  
EOP file        : eop.121123.p130214                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2012-NOV-23. PREDICTS-> 2013-FEB-13
Units conversion: 1 AU= 149597870.691 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO )                           
*******************************************************************************
Date_________JDUT     R.A.__(a-apparent)__DEC Azi_(a-appr)_Elev Ob-lon Ob-lat
*****************************************************************************
$$SOE
2456256.500000000  m  14 17 37.34 -11 22 43.6 291.7777 -36.6836 181.67  21.47
2456256.791666667  m  14 17 44.99 -11 23 20.7  73.6829 -32.3226  58.13  21.48
2456257.083333333 *   14 17 52.57 -11 23 58.0 157.9114  32.2943 294.59  21.49
2456257.375000000 *m  14 18 00.07 -11 24 34.9 259.2141  -5.2369 171.05  21.50
2456257.666666667  m  14 18 07.66 -11 25 11.6  20.7503 -56.2292  47.51  21.52
2456257.958333333 A   14 18 15.25 -11 25 48.5 117.1767  10.5644 283.97  21.53
2456258.250000000 *   14 18 22.72 -11 26 25.3 225.5075  22.8950 160.43  21.54
2456258.541666667  m  14 18 30.23 -11 27 01.7 308.8822 -47.2269  36.89  21.55
2456258.833333333  m  14 18 37.81 -11 27 38.3  86.4222 -20.4270 273.35  21.57
2456259.125000000 *   14 18 45.29 -11 28 14.9 177.4585  34.8250 149.81  21.58
2456259.416666667 Cm  14 18 52.72 -11 28 51.1 270.5836 -17.3638  26.28  21.59
2456259.708333333  m  14 19 00.24 -11 29 27.2  45.9140 -49.5676 262.74  21.60
2456260.000000000 Cm  14 19 07.74 -11 30 03.6 130.7566  20.5785 139.20  21.62
2456260.291666667 *   14 19 15.13 -11 30 39.7 239.5177  13.1997  15.66  21.63
2456260.583333333  m  14 19 22.57 -11 31 15.4 332.1505 -55.0579 252.12  21.64
2456260.875000000  m  14 19 30.07 -11 31 51.4  97.9957  -8.3564 128.58  21.65
2456261.166666667 *   14 19 37.45 -11 32 27.3 197.2441  33.1932   5.04  21.66
2456261.458333333 Am  14 19 44.80 -11 33 02.9 282.7819 -29.4578 241.51  21.68
2456261.750000000  m  14 19 52.26 -11 33 38.4  64.4713 -39.6354 117.97  21.69
2456262.041666667 *m  14 19 59.65 -11 34 14.1 146.6152  28.5466 354.43  21.70
2456262.333333333 *   14 20 06.95 -11 34 49.5 251.7860   2.0911 230.89  21.71
2456262.625000000  m  14 20 14.33 -11 35 24.6   1.7524 -57.9096 107.35  21.72
2456262.916666667  m  14 20 21.73 -11 35 59.9 109.5613   3.3777 343.82  21.74
2456263.208333333 *   14 20 29.00 -11 36 35.1 215.2858  27.7356 220.28  21.75
2456263.500000000     14 20 36.29 -11 37 10.0 297.3088 -40.9109  96.74  21.76
2456263.791666667  m  14 20 43.66 -11 37 44.8  78.7530 -28.1669 333.20  21.77
2456264.083333333 *m  14 20 50.94 -11 38 19.8 164.9622  33.4798 209.67  21.78
2456264.375000000 *   14 20 58.15 -11 38 54.5 263.2025  -9.8010  86.13  21.80
